brand,buttons,color,ctype,dpi,model,name,price,rating,reviews,style
TROPRO,7,Black,Wired,2400 dpi,GM002,Gaming Mice,26.99,5,18,
RAZER,8,Black,Wired,20000 dpi,RZ01-03210100-R3U1,Razer DeathAdder v2,68.53,4,642,
Endgame Gear,OMRON long-life switches (mechanical),Black,Wired,Pixart PMW3389 High-End (optical),EGG-XM1RGB-BLK,XM1,69.99,4,22,"Claw Grip, Palm Grip, Finger Grip"
ASUS,6,Black,Wired,6200 dpi,90MP01D0-B0UA00,ROG GLADIUS II CORE,46.99,5,3,Palm / Claw / Fingertip
Endgame Gear,OMRON long-life switches (mechanical),White,Wired,Pixart PMW3389 High-End (optical),EGG-XM1RGB-WHT,XM1,69.99,4,22,"Claw Grip, Palm Grip, Finger Grip"
Logitech,6,Black,LIGHTSPEED or Bluetooth wireless,12000 dpi,910-005099,G603,58.99,4,333,
Rosewill,8,Black,Wired,7200 dpi,NEON M54,,19.99,4,270,"Claw Grip, Fingertip Grip, Palm Grip"
Logitech,11,Black,RF Wireless,2500 dpi,910-003820,G602,94.98,4,333,All
COOLER MASTER,6,Matte White,Wired,16000 dpi,MM-711-WWOL2,MasterMouse MM711,39.99,5,1,Claw / Palm / Fingertip
Glorious,6,Matte White,Wired,12000 dpi,GOM-WHITE,Model O Minus,79.99,4,21,Palm / Claw
Corsair,17,Black,Wired,18000 dpi,CH-9304211-NA,SCIMITAR RGB ELITE,82.99,4,19,
RAZER,5,Black,Wired,10000 dpi,RZ01-01210100-R3U1,DeathAdder Chroma,38.98,4,642,
Logitech,11,Black,Wired,16000 dpi,910-005469,G502 HERO,39.99,4,145,
Endgame Gear,OMRON long-life switches (mechanical),White,Wired,Pixart PMW3389 High-End (optical),EGG-XM1-WHT,XM1,39.99,4,22,"Claw Grip, Palm Grip, Finger Grip"
MSI,6,Black,Wired,7200 dpi,Clutch GM50,,54.99,4,3,
Corsair,8,Black,Wired,18000 dpi,CH-9309011-NA,M65 RGB ELITE,52.99,4,200,Claw
Corsair,6,Black,Wired,12000 dpi,CH-9301111-NA,HARPOON RGB PRO,29.99,4,10,
Corsair,9,White,Wired,18000 dpi,CH-9309111-NA,M65 RGB ELITE,59.99,4,200,Claw
Corsair,8,Black,"SLIPSTREAM/Bluetooth Wireless, Wired",18000 dpi,CH-9315411-NA,DARK CORE RGB PRO,79.99,4,21,Palm
