brand,buttons,color,ctype,dpi,model,name,price,rating,reviews,style
A-jazz,7,Black,Wired,2500DPI,J52,Ajazz  AJ52 Black Star Competitor Gaming Mouse,34.99,5,4,Palm
TRITTON,6,Black,Wired,5000 dpi,,TM200 Gaming Mouse,16.99,4,4,Adjustable
A-jazz,7,Pink,Wired,2500,J52,Ajazz  AJ52 Pink  Competitor Gaming Mouse,34.99,5,4,Palm
ASUS,,Black,Dual (RF / Bluetooth Wireless),7200 dpi,90MP01B0-B0UA00,ROG Strix Carry,69.77,5,1,Claw / Fingertip
Corsair,7,Black,Wired,18000 dpi,CH-9307011-NA,IRONCLAW RGB,73.02,NA,0,Palm
DELUX,7,Black,Wired,10000 dpi,M700BU(3325),M700BU(3325),22.99,NA,0,Claw
zelotes,12,Black,Wired,4000 dpi,,,27.99,5,5,All
ZOWIE GEAR,5,Black,Wired,3200 dpi,9H.N0GBB.A2E,S1,69.99,NA,0,Palm / Claw
SADES,12,Black,Wired,"200-10,000",Axe,,29.99,5,1,
ZOWIE GEAR,5,Black,Wired,3200 dpi,9H.N0HBB.A2E,S2,69.99,NA,0,Palm / Claw
Corsair,8,Black,Wired,18000 dpi,CH-9309011-NA,M65 RGB ELITE,87.99,NA,0,
Magece,6,Blue,Wired,3200 dpi,,Magece G2,14.99,4,18,Fingertip
,8,Black,IR Wireless,3600 dpi,,,17.79,NA,0,
Redragon,7,Black,Wired,7200DPI,,M601 RGB,23.95,4,19,Palm
Vicabo,6,Black,Wired,3200 dpi,,,8.99,NA,0,Fingertip
RAZER,7,Black,RF Wireless,16000 dpi,RZ01-02710100-R3U1,,69.99,2,1,
SteelSeries,7,Black,RF Wireless,12000 dpi,62456,RIVAL 650,176.25,5,2,All
RAZER,11,Black,,20000 dpi,,,169.99,5,1,
Logitech,10,,Wired,5700 dpi,G500,,168.99,NA,0,
Mad Catz,11,Black,Wired,12000 dpi,MR04DCAMBL00,R.A.T 6+,51.74,4,26,
RAZER,7,Glossy Black,Wired,16000 dpi,RZ01-02010100-R3U1,DeathAdder Elite,89.99,4,642,
RAZER,8,Black,Wired,16000 dpi,RZ01-02330100-R3U1,BASILISK,98.0,4,642,All
,,Black/Red,Wired,,,,29.99,NA,0,
Corsair,8,,"SLIPSTREAM/Bluetooth Wireless, Wired",1800 dpi,CH-9315411-NA,DARK CORE RGB PRO,99.99,NA,0,
Glorious,6,Glossy Black,Wired,12000 dpi,GO-GBLACK,Model O,82.31,3,2,Palm / Claw
Corsair,6,Aluminum,Wired,16000 dpi,CH-9302111-NA,GLAIVE RGB,90.83,5,2,Adjustable
SteelSeries,6,Black,Wired,7200 dpi,62466,Rival 110,126.99,5,1,All
Mionix,7,Black,Wired,3200 dpi,Naos 3200,,165.99,4,138,
ASUS,6,Pink,Wired,12000 dpi,90MP00U3-B0UA01,ROG Gladius II Origin PNK,99.99,NA,0,
SteelSeries,15,Black,Wired,,62051,Rival 500,109.99,NA,0,All
Corsair,6,Black,Bluetooth Wireless,10000 dpi,CH-9311011-NA,HARPOON,67.59,NA,0,
SteelSeries,,,Wired,6500 CPI,62271,Rival,213.0,4,72,
Glorious,6,Matte White,Wired,12000 dpi,GO-WHITE,Model O,109.94,NA,0,Palm / Claw
GIGABYTE,,Matte Black,Wired,16000 dpi,GM-AORUS M5,AORUS M5,74.99,4,3,Palm and Claw
SteelSeries,6,,Wired,12000,Rival 310 CS:GO Howl Edition,,59.99,NA,0,Palm
Logitech,4,Graphite,Bluetooth Wireless,4000 dpi,910-005447,,115.19,NA,0,
SteelSeries,6,Black,Wired,6500 dpi,62351,Rival 300,107.99,4,66,Palm or Claw
Mionix,6,Ice Cream,Wired,5000 dpi,MNX-01-26007-G,Castor,84.99,NA,0,All
SOVAWIN,2,Black,Bluetooth Wireless,1600 dpi,,Gaming Wireless Mouse,18.0,3,1,All
Razer,5,No,RF Wireless,7200 dpi,,,66.0,NA,0,
SADES,7,Black,,4000,Scythe,,24.99,NA,0,"Palm, Claw, Fingertip"
Corsair,9,Black,"Dual (RF / Bluetooth Wireless), USB Wired",16000 dpi,CH-9315311-NA,Dark Core RGB SE,128.33,3,39,Palm
Mionix,6,French Fries,Wired,5000 dpi,MNX-01-26005-G,Castor,51.0,NA,0,All
Mionix,6,Shark Fin,Wired,5000 dpi,MNX-01-26008-G,Castor,84.99,NA,0,All
SADES,6,,Wired,2400 dpi,92891,Q7,16.99,4,8,Palm
Corsair,9,Black,Wired,18000 dpi,CH-9309011-NA,M65 RGB ELITE,79.99,NA,0,
Riotoro,8,White,Wired,10000 dpi,MR-800XPW,Aurox White,41.99,4,4,
Riotoro,8,Black,Wired,10000 dpi,MR-800XP,Aurox Black,40.99,4,4,
HXSJ,6,Grey,,3600 dpi,T32,,26.99,5,3,Adjustable
Jieyuteks,11,Black,Wired,4000dpi,C-12,C-12 Gaming Mice,28.99,NA,0,Palm
LUOM,6,Black,Wired,4000 dpi,V5,LUOM V5 Wired Gmae Mouse,14.99,5,6,Palm
Zelotes,7,Jet Black,Wired,7200 dpi,,T60,16.99,4,18,Palm
Zelotes,6,Black,Wired,5500DPI,T80,Scorpion,14.99,4,1,All
Glorious,6,Matte Black,Wired,12000 dpi,GD-BLACK,Model D,78.99,5,3,
Logitech,8,Black,Wired,4000 dpi,910-003589,G400S,69.77,5,2,
Logitech,8,Black,Wired,3600 dpi,G400,,149.0,4,321,
SteelSeries,6,Alchemy Gold,Wired,4000 dpi,62336,Rival 100,45.0,4,62,All
TESORO,6,Black,Wired,5000 dpi,TS-H6L,Tesoro Sagitta,19.99,3,5,All
COUGAR,,Black,Wired,7200 dpi,Surpassion,,39.99,4,61,All
SteelSeries,6,Black,Wired,4000 dpi,62341,Rival 100,207.24,4,62,All
IOGEAR,7,Black,Wired,5000 dpi,GME631,KORONA,32.99,NA,0,
HyperX,11,Black,Wired,16000 dpi,HX-MC005B,,77.99,NA,0,Adjustable
,6,,Wired,4800 dpi,,,45.17,NA,0,
Logitech,9,Black,,2500 dpi,G300,,39.88,NA,0,
,8,Black,Wired,12000 dpi,,,109.99,NA,0,
zelotes,6,Black,RF Wireless,2400 dpi,F-12,,14.99,NA,0,All
IMICE,6,White,Wired,3200DPI,V6,V6 Gaming Mice,14.99,NA,0,Palm
zelotes,6,Black,RF Wireless,2400 dpi,F-12,,14.99,NA,0,All
LUOM,6,Black,Wired,3500 dpi,KX58,KX58,13.99,NA,0,Palm
Zelotes,6,Black,Wired,5500DPI,T80,Scorpion,11.99,NA,0,All
Jieyuteks,6,Black,Wired,1600 dpi,X8,X8 Gaming mice,10.99,NA,0,Palm
Free worf,6,Black,Wired,4000 dpi,V5,,14.99,NA,0,
Jieyuteks,7,Black,Wired,5500DPI,T80,T80 Gaming Mice,14.99,NA,0,Palm
HyperX,6,Black,Wired,3200 dpi,HX-MC003B,Pulsefire FPS,49.9,NA,0,
Coxbright,6,Black,Wired,5500 dpi,GT25-37768999,A885,8.99,3,2,
ESTONE,6,White,Wired,4800 dpi,V6,V6 Game mouse,11.99,NA,0,Palm
Wanmingtek,6,White,Wired,4000DPI,V5,Freewolf V5 Wired Gmae Mouse,15.99,3,2,Palm
zelotes,7,Black,Wired / Wireless,3200 dpi,,,24.99,NA,0,All
ZELOTES,7,Black,Wired,5500 DPI,T80-X,ZELOTES T80-X Backlight 5500 DPI 7 Button Mouse Gamer Gaming Multi Color LED Optical USB Wired Gaming Mouse,14.99,NA,0,All
Free worf,6,Black,Wired,4000 dpi,V5,,13.99,NA,0,All
Wanmingtek,6,Black,Wired,4000DPI,V5,Freewolf V5 Wired Gmae Mouse,14.99,3,2,Palm
SteelSeries,6,Gaia Green,Wired,4000 dpi,62339,Rival 100,39.75,4,62,All
Corsair,8,White,Wired,18000 dpi,CH-9309111-NA,M65 RGB ELITE,83.99,NA,0,
zelotes,7,Black,Wired / Wireless,3200 dpi,,,24.99,5,2,All
ZERODATE,7,Black,,3200 dpi,X300GY,,25.99,2,3,Adjustable
HXSJ,7,Black,RF Wireless,4800 dpi,T88,"2.4G Wireless Gaming Mouse with 7-Button Programmable, 7-Colorful Breathing Backlit,, 4800 DPI High Precision Optical Sensor, 1200mAh Rechargeable Charging",21.99,NA,0,
SteelSeries,6,Forged Red,Wired,4000 dpi,62337,Rival 100,58.39,4,62,All
Mad Catz,11,White,Wired,16000 dpi,MR05DCAMWH00,R.A.T. 8+,86.78,NA,0,Adjustable
COOLER MASTER,6,Black,Wired,12000 dpi,SGM-2007-KLON1,MasterMouse MM520,44.99,4,12,Claw
ASUS,,Black,Wired,5000 dpi,90YH00C1-BAUA00,STRIX CLAW,31.99,3,9,Claw
IMICE,6,Black,Wired,1600 dpi,V8,V8 Game mouse,16.99,NA,0,Palm
zelotes,9,Black,Wired / Wireless,2500 dpi,,,24.99,NA,0,All
,7,,Wired,16000 dpi,,,59.99,NA,0,All
AULA,10,Black,Wired,4200 dpi,F808,Wired Gaming Mouse,35.99,NA,0,Palm / Claw
Logitech,10,,Wired,5700 dpi,G500,,169.99,NA,0,
Logitech,11,Black,Wired,12000 dpi,910-004615,G502,119.99,NA,0,Fingertip
zelotes,12,Black,Wired,4000 dpi,,,28.99,5,2,All
Corsair,9,White,Wired,18000 dpi,CH-9309111-NA,M65 RGB ELITE,80.99,NA,0,Claw
GIGABYTE,,Black,Wired,50~6400dpi with 50dpi increments (Default: 800/1600/2400/3200 dpi),GM-AORUS M3,,46.55,NA,0,
MageGee,7,Pink,Wired,3200,G10,Wired gaming mouse,12.99,NA,0,
,3,White,Wired,3200 dpi,,,14.99,NA,0,
,8,Black,RF Wireless,3600 dpi,,,23.99,NA,0,
ZALMAN,6,Black,Wired,2000 dpi,FG1000,,149.98,3,170,
Free wolf,6,Black,RF Wireless,2400,X13,Free wolf,28.99,NA,0,Palm / Claw
Free wolf,6,Black/White,RF Wireless,2400,X13,Free wolf,28.99,NA,0,Palm / Claw
GIGABYTE,,Matte Black,Wired,16000 dpi,GM-AORUS M5,AORUS M5,84.08,NA,0,Palm and Claw
,,,,5500 dpi,,Crack Pattern Wired  Gaming Mouse Black,9.99,NA,0,
,6,Black,Wired,,,,35.87,1,1,
,8,Black,Wired,12000 dpi,,,85.99,NA,0,
,8,Black,Wired,12000 dpi,,,109.99,NA,0,
Alienware,10,Black,Wired,16000 dpi,AW510M,,110.0,NA,0,
zelotes,6,Black,RF Wireless,2400 dpi,F-12,,14.99,NA,0,All
zelotes,9,Black,Wired / Wireless,2500 dpi,,,24.99,NA,0,All
Zelotes,7,Black,Wired,5500dpi,T80-X,T80-X game mouse,11.99,NA,0,All
Zelotes,6,Black,Wired,5500DPI,T80,Scorpion,14.99,NA,0,All
ZELOTES,7,Black,Wired,5500dpi,,,14.99,NA,0,All
HXSJ,7,Black,RF Wireless,4800 dpi,T88,"2.4G Wireless Gaming Mouse with 7-Button Programmable, 7-Colorful Breathing Backlit,, 4800 DPI High Precision Optical Sensor, 1200mAh Rechargeable Charging",19.99,2,1,
imice,6,Black,Wired,4000 dpi,V8,Wired Gaming Mouse V8,23.99,NA,0,All
zelotes,7,Black,Wired / Wireless,3200 dpi,,,23.99,NA,0,All
RAJFOO,6,Black,Wired,3200 dpi,Crazy Scorpion,Crazy Scorpion,18.99,NA,0,Palm
Tt eSPORTS,16,Black,Wired,12000 dpi,MO-NMS-WDOOBK-01,NEMESIS Switch,49.99,4,45,All
ASUS,1 + 5 programmable buttons,Black,Dual (RF / Bluetooth Wireless),16000 dpi,90MP00Z0-B0UA00,ROG Gladius II Wireless,110.99,5,5,
Logitech,,Black,RF Wireless,12000 dpi,910-005251,G703,109.99,5,1,All
ESTONE,6,Black,Wired,3200 dpi,x8,X8 gaming mouse,16.99,4,1,All
LUOM,6,Black,Wired,3200 dpi,X5,X5,13.99,NA,0,All
RAJFOO,6,Black,Wired,3200 dpi,Crazy Scorpion,Crazy Scorpion,16.99,NA,0,All
Free worf,6,White,Wired,4000 dpi,V5,,13.99,NA,0,
,,Black,,,,,21.99,NA,0,
imice,6,White,Wired,4800 dpi,V6 Gaming mouse,V6 Gaming mouse,13.99,NA,0,All
Logitech,,Black,LIGHTSPEED or Bluetooth wireless,12000 dpi,910-005099,G603,79.99,NA,0,
Azio,,Black,Wired,6400 dpi,GM-Aventa-01,,121.0,NA,0,
Logitech,8,Black,Wired,3600 dpi,,G400,84.98,NA,0,
Free worf,6,Black,Wired,4000 dpi,V5,,14.99,NA,0,
