Brand,Name,Model,Style,DPI,Buttons,Connection,Color,Rating,Reviews,Price
ASUS,ROG Strix Carry,90MP01B0-B0UA00,Multiple,7200,,Wireless,Black,5.0,1,69.77
CORSAIR,IRONCLAW RGB,CH-9307011-NA,Palm,18000,7,Wired,Black,,0,73.02
DELUX,M700BU(3325),M700BU(3325),Claw,10000,7,Wired,Black,,0,22.99
ZELOTES,,,Multiple,4000,12,Wired,Black,5.0,5,27.99
ZOWIE GEAR,S1,9H.N0GBB.A2E,Multiple,3200,5,Wired,Black,,0,69.99
SADES,,Axe,,10000,12,Wired,Black,5.0,1,29.99
ZOWIE GEAR,S2,9H.N0HBB.A2E,Multiple,3200,5,Wired,Black,,0,69.99
CORSAIR,M65 RGB ELITE,CH-9309011-NA,,18000,8,Wired,Black,,0,87.99
MAGECE,Magece G2,,Fingertip,3200,6,Wired,Blue,4.0,18,14.99
,,,,3600,8,Wireless,Black,,0,17.79
REDRAGON,M601 RGB,,Palm,7200,7,Wired,Black,4.0,19,23.95
VICABO,,,Fingertip,3200,6,Wired,Black,,0,8.99
RAZER,,RZ01-02710100-R3U1,,16000,7,Wireless,Black,2.0,1,69.99
STEELSERIES,RIVAL 650,62456,Multiple,12000,7,Wireless,Black,5.0,2,176.25
RAZER,,,,20000,11,,Black,5.0,1,169.99
LOGITECH,,G500,,5700,10,Wired,,,0,168.99
MAD CATZ,R.A.T 6+,MR04DCAMBL00,,12000,11,Wired,Black,4.0,26,51.74
RAZER,DeathAdder Elite,RZ01-02010100-R3U1,,16000,7,Wired,Glossy Black,4.0,642,89.99
RAZER,BASILISK,RZ01-02330100-R3U1,Multiple,16000,8,Wired,Black,4.0,642,98.0
,,,,,,Wired,Black/Red,,0,29.99
CORSAIR,DARK CORE RGB PRO,CH-9315411-NA,,1800,8,Wireless,,,0,99.99
GLORIOUS,Model O,GO-GBLACK,Multiple,12000,6,Wired,Glossy Black,3.0,2,82.31
CORSAIR,GLAIVE RGB,CH-9302111-NA,Multiple,16000,6,Wired,Aluminum,5.0,2,90.83
STEELSERIES,Rival 110,62466,Multiple,7200,6,Wired,Black,5.0,1,126.99
MIONIX,,Naos 3200,,3200,7,Wired,Black,4.0,138,165.99
ASUS,ROG Gladius II Origin PNK,90MP00U3-B0UA01,,12000,6,Wired,Pink,,0,99.99
STEELSERIES,Rival 500,62051,Multiple,,15,Wired,Black,,0,109.99
CORSAIR,HARPOON,CH-9311011-NA,,10000,6,Wireless,Black,,0,67.59
STEELSERIES,Rival,62271,,6500,,Wired,,4.0,72,213.0
GLORIOUS,Model O,GO-WHITE,Multiple,12000,6,Wired,Matte White,,0,109.94
GIGABYTE,AORUS M5,GM-AORUS M5,Multiple,16000,,Wired,Matte Black,4.0,3,74.99
STEELSERIES,,Rival 310 CS:GO Howl Edition,Palm,12000,6,Wired,,,0,59.99
LOGITECH,,910-005447,,4000,4,Wireless,Graphite,,0,115.19
STEELSERIES,Rival 300,62351,Multiple,6500,6,Wired,Black,4.0,66,107.99
MIONIX,Castor,MNX-01-26007-G,Multiple,5000,6,Wired,Ice Cream,,0,84.99
SOVAWIN,Gaming Wireless Mouse,,Multiple,1600,2,Wireless,Black,3.0,1,18.0
RAZER,,,,7200,5,Wireless,No,,0,66.0
SADES,,Scythe,Multiple,4000,7,,Black,,0,24.99
CORSAIR,Dark Core RGB SE,CH-9315311-NA,Palm,16000,9,Wireless,Black,3.0,39,128.33
MIONIX,Castor,MNX-01-26005-G,Multiple,5000,6,Wired,French Fries,,0,51.0
MIONIX,Castor,MNX-01-26008-G,Multiple,5000,6,Wired,Shark Fin,,0,84.99
SADES,Q7,92891,Palm,2400,6,Wired,,4.0,8,16.99
CORSAIR,M65 RGB ELITE,CH-9309011-NA,,18000,9,Wired,Black,,0,79.99
RIOTORO,Aurox White,MR-800XPW,,10000,8,Wired,White,4.0,4,41.99
RIOTORO,Aurox Black,MR-800XP,,10000,8,Wired,Black,4.0,4,40.99
HXSJ,,T32,Multiple,3600,6,,Grey,5.0,3,26.99
JIEYUTEKS,C-12 Gaming Mice,C-12,Palm,4000,11,Wired,Black,,0,28.99
LUOM,LUOM V5 Wired Gmae Mouse,V5,Palm,4000,6,Wired,Black,5.0,6,14.99
ZELOTES,T60,,Palm,7200,7,Wired,Jet Black,4.0,18,16.99
ZELOTES,Scorpion,T80,Multiple,5500,6,Wired,Black,4.0,1,14.99
GLORIOUS,Model D,GD-BLACK,,12000,6,Wired,Matte Black,5.0,3,78.99
LOGITECH,G400S,910-003589,,4000,8,Wired,Black,5.0,2,69.77
LOGITECH,,G400,,3600,8,Wired,Black,4.0,321,149.0
STEELSERIES,Rival 100,62336,Multiple,4000,6,Wired,Alchemy Gold,4.0,62,45.0
TESORO,Tesoro Sagitta,TS-H6L,Multiple,5000,6,Wired,Black,3.0,5,19.99
COUGAR,,Surpassion,Multiple,7200,,Wired,Black,4.0,61,39.99
STEELSERIES,Rival 100,62341,Multiple,4000,6,Wired,Black,4.0,62,207.24
IOGEAR,KORONA,GME631,,5000,7,Wired,Black,,0,32.99
HYPERX,,HX-MC005B,Multiple,16000,11,Wired,Black,,0,77.99
,,,,4800,6,Wired,,,0,45.17
LOGITECH,,G300,,2500,9,,Black,,0,39.88
,,,,12000,8,Wired,Black,,0,109.99
ZELOTES,,F-12,Multiple,2400,6,Wireless,Black,,0,14.99
IMICE,V6 Gaming Mice,V6,Palm,3200,6,Wired,White,,0,14.99
ZELOTES,,F-12,Multiple,2400,6,Wireless,Black,,0,14.99
